Authors,Title,Year,Source title,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords
"Jaggars S.S., Xu D.",How do online course design features influence student performance?,2016,Computers and Education,38,10.1016/j.compedu.2016.01.014,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960092716&doi=10.1016%2fj.compedu.2016.01.014&partnerID=40&md5=f05d089370b7c23a304f7221ce850dfc,"Given the rapid growth in online coursework within higher education, it is important to establish and validate quality standards for these courses. While many online learning quality rubrics do exist, thus far there has been little empirical evidence establishing a clear link between specific course design features and concrete, student-level course outcomes. In the current study, the authors develop an online course design assessment rubric that includes four areas, and explore the impact of each area on student end-of-semester performance in 23 online courses at two community colleges. The results indicate that the quality of interpersonal interaction within a course relates positively and significantly to student grades. Additional analyses based on course observation and interview data suggest that frequent and effective student-instructor interaction creates an online environment that encourages students to commit themselves to the course and perform at a stronger academic level. © 2016 Elsevier Ltd. All rights reserved.",Computer-mediated communication; Distance education and telelearning; Pedagogical issues; Postsecondary education; Teaching/learning strategies,Curricula; Distance education; E-learning; Education; Teaching; Computer mediated communication; Distance education and tele-learning; Pedagogical issues; Postsecondary education; Teaching/learning strategy; Students
Helm F.,The practices and challenges of telecollaboration in higher education in Europe,2015,"Language, Learning and Technology",26,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930165657&partnerID=40&md5=db184e88fa37b46af70840fefcd99730,"Telecollaboration is an area of CALL research and practice which has developed considerably in the last twenty years. Many research studies have been carried out and important findings have been made, but there has not yet been a large scale survey to try and ‘map’ the state of the art in telecollaboration practice. Most studies focus on single telecollaboration projects and look at the project design, learning outcomes and difficulties teachers and researchers have encountered in that particular project. This paper reports on a survey which sought to explore current practices and attitudes towards telecollaboration across European universities and to identify barriers that practitioners encounter. The survey was completed in full by a total of 210 university language teachers in 23 different European countries and 131 students. The picture we found presents a broad spectrum of practices. Despite an overwhelmingly positive attitude towards telecollaboration, findings also provide large-scale confirmation of some of the problems identified in small-scale studies, such as organizational difficulties, lack of time, limited technical support and great uncertainty regarding issues students should address in their exchanges. The paper concludes with some recommendations as to how to meet these challenges and how telecollaboration practice could become mainstreamed in higher education. © Francesca Helm.",Collaborative learning; Computer-Assisted language learning; Computer-mediated communication; Telecollaboration,
"Chiou C.-C., Tien L.-C., Lee L.-T.",Effects on learning of multimedia animation combined with multidimensional concept maps,2015,Computers and Education,22,10.1016/j.compedu.2014.09.002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907906805&doi=10.1016%2fj.compedu.2014.09.002&partnerID=40&md5=994c8c1ed00dcef72768f16d9c099f72,"This study investigates whether teaching materials combining multimedia animation and multidimensional concept maps (MAMCMs) improve learning achievement, retention, and satisfaction more than multidimensional concept maps (MCMs), as suggested by Huang et al. (2012) in Computers & Education. Learning retention, learning achievement, and learning satisfaction associated with two sets of course materials were compared in this quasi-experimental study. In total, 114 students from two classes at one private university in Taiwan participated in this 6-week teaching experiment. Analytical results indicate that learning achievement, learning satisfaction, and learning retention of the MAMCM group were better than those of the MCM group. Pedagogical implications and suggestions are given. © 2014 Elsevier Ltd. All rights reserved.",Computer-mediated communication; Improving classroom teaching; Multimedia/hypermedia systems; Teaching/learning strategies,Computer-mediated communication; Concept maps; Improving classroom teaching; Multimedia animation; Multimedia/hypermedia systems; Teaching/learning strategy
Smith E.E.,“A real double-edged sword:” Undergraduate perceptions of social media in their learning,2016,Computers and Education,18,10.1016/j.compedu.2016.09.009,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988719560&doi=10.1016%2fj.compedu.2016.09.009&partnerID=40&md5=aaaa39fb8f4bdb221850421fcd935058,"This study investigates undergraduate perceptions of the social media technologies (SMTs) they use in their learning. This mixed methods inquiry employed 30 semi-structured interviews and an online survey (N = 679) to explore why and how undergraduates from across disciplines view SMTs to be a meaningful part of their university learning. Findings shed new insights into student perspectives on and uses of social media, and the variety of ways in which undergraduates intentionally choose (or, choose not) to incorporate social media into their university learning in meaningful ways. Student perceptions formed an overarching theme of social media as a double-edged sword that both informs and distracts, having the potential to both help and hinder learning. Together, the interviews and the open-ended survey results demonstrate that several contextual relationships exist, underscoring the importance of considering affordances of social media for learning. Rather than taking an approach founded upon technological determinism, learning context and social media affordances become key. Undergraduate perceptions of educational interactions via social media illustrate the prominence of student-student and student-content, rather than faculty-student, interactions via social media in their learning, allowing for an updated understanding of previous educational interactions models. © 2016 Elsevier Ltd",Computer-mediated communication; Media in education; Post-secondary education,Education; Education computing; Engineering education; Social networking (online); Surveys; Computer mediated communication; Contextual relationships; Media in education; Postsecondary education; Semi structured interviews; Student perceptions; Student perspectives; Technological determinism; Students
"Cesareni D., Cacciamani S., Fujita N.",Role taking and knowledge building in a blended university course,2016,International Journal of Computer-Supported Collaborative Learning,18,10.1007/s11412-015-9224-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959132387&doi=10.1007%2fs11412-015-9224-0&partnerID=40&md5=9434b6509f72958dc77a3f5aece923f6,"Role taking is an established approach for promoting social cognition. Playing a specific role within a group could lead students to exercise collective cognitive responsibility for collaborative knowledge building. Two studies explored the relationship of role taking to participation in a blended university course. Students participated in the same knowledge-building activity over three consecutive, five-week modules and enacted four roles designed in alignment with knowledge building pedagogy (Scardamalia and Bereiter 2010). In Study 1, 59 students were distributed into groups with two conditions: students who took a role in Module 2 and students who did not take a role, using Module 1 and 3 as pre and post tests. Results showed no differences in participation in Module 1, higher levels of writing and reading for role takers in Module 2, and this pattern was sustained in Module 3. Students with the Synthesizer role were the most active in terms of writing and the second most active for reading; students with the Social Tutor role were the most active for reading. In Study 2, 143 students were divided into groups with two conditions: students who took a role in Module 1 and students who did not take a role. Content analysis revealed that role takers tended to vary their contributions more than non-role takers by proposing more problems, synthesizing the discourse, reflecting on the process and organization of activity. They also assumed appropriate responsibilities for their role: the Skeptic prioritizes questioning of content, the Synthesizer emphasizes synthesizing of content, and the Social Tutor privileges maintaining of relationships. Implications of designing role taking to foster knowledge building in university blended courses are discussed. © 2015, International Society of the Learning Sciences, Inc.",Computer-mediated communication; Cooperative/collaborative learning; Knowledge building; Pedagogical issues; Post-secondary education; Role taking; Teaching/learning strategies,
"Dhir A., Tsai C.-C.",Understanding the relationship between intensity and gratifications of Facebook use among adolescents and young adults,2017,Telematics and Informatics,17,10.1016/j.tele.2016.08.017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014964842&doi=10.1016%2fj.tele.2016.08.017&partnerID=40&md5=8e8845135682192b7e6d62de95ef66cc,"Facebook is a well-known computer-mediated communication platform considered popular among adolescents and young adults. New media scholars have coined the term “intensity of Facebook use” (IFU) for the concept that measures the emotional and affective attitude towards Facebook use among young people. IFU is an important service use concept that has been positively linked with the different psychosocial outcomes of student well-being. However, only a limited amount of the prior literature has investigated the relationship between IFU and different Facebook uses and gratifications (U&G). The existing literature suggests inconsistent findings with a sole emphasis on young adults. To address these gaps, the present study has investigated the differential role of different Facebook U&G among adolescents and young adults in predicting IFU. A total of three cross-sectional data sets (N = 373, 107, 105) represented adolescents and university-attending young-adult Facebook users. The study results suggest that process U&G do and content U&G do not play any significant role in predicting IFU. Adolescents and young adults differ in their sought Facebook U&G. In addition to this, cultural differences were observed in the sought Facebook U&G and their differential role in predicting IFU. © 2016 Elsevier Ltd",Adolescent; Content U&G; Cross-sectional survey; Intensity of Facebook use; Process U&G and young adults,Forecasting; Occupational diseases; Adolescent; Computer mediated communication; Cross-sectional surveys; Cultural difference; Facebook; Uses and gratifications; Young adults; Young peoples; Social networking (online)
"Yilmaz F.G.K., Keser H.",The impact of reflective thinking activities in e-learning: A critical review of the empirical research,2016,Computers and Education,17,10.1016/j.compedu.2016.01.006,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84956973214&doi=10.1016%2fj.compedu.2016.01.006&partnerID=40&md5=d942e046106c3686b3fb4b266c8e3c43,"The purpose of this study is to reveal the impact of e-learning environments supported with reflective thinking activities on students' academic success, social presence perception and on their motivation. Experimental design with pretest-posttest control group was used in the study. Three different learning environment were compared within the scope of the study. Students in Study Group I completed the experimental process using the podcasts supported with reflective thinking activities whilst students in Study Group II completed the process using podcasts which were not supported with reflective thinking activities and students in Study Group III completed the experimental process using web-based videos. The study was carried out for 6 weeks on 103 students studying in a distance education programme of a university. Both qualitative and quantitative data collection techniques were used; and the data was collected using achievement test, social presence perception scale, Instructional Materials Motivation Survey and student opinion identification form. The results of the study revealed that use of podcasts supported with reflective activities were more efficient in ensuring post-test success and motivation, compared to others. In terms of social presence perception, on the other hand, there was no significant difference between study groups. Based on the results of qualitative data analysis, recommendations were made on how to use reflective thinking activities in e-learning environment designs and on how to utilize podcast technology. © 2016 Elsevier Ltd. All rights reserved.",Computer-mediated communication; Distance education and telelearning; Interactive learning environments; Pedagogical issues; Teaching/learning strategies,Computer aided instruction; Distance education; E-learning; Education; Motivation; Teaching; Computer mediated communication; Distance education and tele-learning; Interactive learning environment; Pedagogical issues; Teaching/learning strategy; Students
Wu J.-Y.,The indirect relationship of media multitasking self-efficacy on learning performance within the personal learning environment: Implications from the mechanism of perceived attention problems and self-regulation strategies,2017,Computers and Education,16,10.1016/j.compedu.2016.10.010,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85002944453&doi=10.1016%2fj.compedu.2016.10.010&partnerID=40&md5=6595830871b6cea2393b2b82c67239fc,"Media multitasking, characterized by simultaneous engagement in multiple media forms, is prevalent among university students within the personal learning environment. However, those who think they are capable of multitasking usually overestimate their ability to perform the actual tasks. This study examined university students’ learning performance from the perspectives of their media multitasking self-efficacy, perceived attention problems, and self-regulation strategies using the revised Online Learning Motivated Attention and Regulatory Strategies scale. Participants were 696 university students (275 males, 39.51%) in Taiwan. The author developed the media multitasking self-efficacy scale through open-ended interviews and pilot tested the measures using an exploratory factor analysis. The confirmatory factor analysis verified the uni-factor structure of the instrument. Second-order confirmatory factor analysis validated the two orthogonal higher-order constructs of perceived attention problems and self-regulation strategies as well as their subscales. Results from the multilevel structural equation model revealed significant negative indirect relationship between media multitasking self-efficacy and learning performance via both students’ perceived attention problems and self-regulation strategies. Study findings have implications for prevention and intervention of university students’ media-related attention problems and poor regulation strategy use within the personal learning environment. © 2016",Computer-mediated communication; Interactive learning environments; Learning communities; Media in education; Post-secondary education,Deregulation; Education; Education computing; Factor analysis; Multitasking; Multivariant analysis; Students; Computer mediated communication; Interactive learning environment; Learning community; Media in education; Postsecondary education; Computer aided instruction
"Wu W.-C.V., Petit E., Chen C.-H.",EFL writing revision with blind expert and peer review using a CMC open forum,2015,Computer Assisted Language Learning,16,10.1080/09588221.2014.937442,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919380963&doi=10.1080%2f09588221.2014.937442&partnerID=40&md5=e8de4b0ded65ed4dad86e3bdd4987c32,"This exploratory computer assisted-language learning (CALL) study used a computer-mediated communication (CMC) interface to allow English as a foreign language (EFL) writing students in classes at two universities to give each other anonymous peer feedback about essay-writing assignments reacting to selected news stories. Experts also provided feedback review. Follow-up questions were facilitated by the interface. The students felt that they benefitted from the instructional design, but found that the peer review focused most on things like grammar whereas the experts focused on organization and structure, making the expert feedback more valuable. Researchers found that more complex issues discussed in the source news articles resulted in lower outcome scores, based on a rubric, than did source material simpler issues. The study also compared performance of students with higher and lower ability and evaluated the quality of the review comments. Conclusions and recommendations for practice are provided. This study is significant because it used CALL/CMC technology to provide online interactivity between students and reviewers in an open forum that allowed students to seek follow-up clarification to the comments of reviewers. The review process, therefore, was not a one-way anonymous communication from reviewer to student but rather allowed interactive discussion of the points and suggestions made by the reviewers. © 2014, Taylor & Francis.",CMC; discussion forum; EFL writing revision; expert review; peer review,
Lee Y.-H.,Facilitating critical thinking using the C-QRAC collaboration script: Enhancing science reading literacy in a computer-supported collaborative learning environment,2015,Computers and Education,13,10.1016/j.compedu.2015.05.004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84935905571&doi=10.1016%2fj.compedu.2015.05.004&partnerID=40&md5=8fd50c20bdccf5c083d5247f8ca8ac8a,"The criticism that reading online results in shallow reading may reflect the need for an intervention that can provide sufficient technological and pedagogical supports to socially and cognitively engage learners in critical thinking and collaboration. This study investigated the effect of facilitating critical thinking using a collaboration script modified from the Questioning, Reading, Answering, and Checking reading strategy (i.e., QRAC-the-Code; Berkeley & Riccomini, 2013) on students' science reading literacy in a computer-supported collaborative learning (CSCL) environment. Participants were 76 college students (71% female) enrolled at a university in central Taiwan. Students were grouped by affinity grouping, where they self-selected their members, and were then randomly assigned to a collaborative learning condition with or without the collaboration script support. Overall, results showed that the collaboration script significantly enhanced students' reading literacy. Moreover, the effect was dependent upon gender and the format of tests. Males benefited more from the collaboration script on constructed-response items whereas females benefited more on multiple-choice items. Implications for instructional practices are drawn based on the findings of the study. © 2015 Elsevier Ltd. Allrights reserved.",Computer-mediated communication; Cooperative/collaborative learning; Gender studies; Pedagogical issues; Teaching/learning strategies,Computer aided instruction; Computer supported cooperative work; Cooperative communication; Distributed computer systems; Education; Students; Teaching; Computer mediated communication; Cooperative/collaborative learning; Gender studies; Pedagogical issues; Teaching/learning strategy; E-learning
